,mode,seed,model,device,batch_size,num_workers,weight_decay,lr,gamma,nesterov,momentum,epochs,dataset,memory_size,task_size,detect_anomaly,lr_steps,train_mode,gpu_ids,num_classes,mean,std,learning_time,time,valid_loss,valid_acc,train_loss,train_acc,tasks_acc,temperature,tiny_resize
0,train,1,resnet32,cuda,128,3,1e-05,2.0,0.2,False,0.9,70,cifar100,2000,5,False,"49,63",icarl,0,100,"0.49140000343322754,0.4821999967098236,0.4465000033378601","0.20229999721050262,0.19939999282360077,0.20100000500679016",2468.2797021865845,06-21_05-53-39,2.3576470250606536,43.959999084472656,0.07677481508255005,91.69166564941406,"77.85000610351562,68.47500610351562,60.36666488647461,52.36250305175781,43.959999084472656",,
1,train,1,resnet32,cuda,128,3,0.0002,0.1,0.1,False,0.9,250,cifar100,2000,5,False,"100,150,200",icarl,0,100,"0.49140000343322754,0.4821999967098236,0.4465000033378601","0.20229999721050262,0.19939999282360077,0.20100000500679016",8614.809619903564,06-22_04-25-48,2.6584911207675934,31.65999984741211,0.09913290323813756,88.07499694824219,"81.35000610351562,71.05000305175781,61.29999923706055,48.000003814697266,31.65999984741211",,
2,train,1,resnet18,cuda,128,3,0.0001,0.1,0.2,False,0.9,3,tiny-imagenet,2000,5,False,"49,63",icarl,5,200,"0.48019999265670776,0.4481000006198883,0.39750000834465027","0.23019999265670776,0.226500004529953,0.22619999945163727",Time 22.294 (19.655),06-23_06-53-56,4.3655191413879395,9.710000038146973,0.16986214670821698,26.245437622070312,"19.80000114440918,14.450000762939453,12.149999618530273,10.562500953674316,9.710000038146973",2.0,False
